CA,39512229
FL,2147773
TX,2899588
OR,4217737
VA,8535519
NY,19453561
PA,1280198
MN,5639632
NC,1048808
SC,5148714
MD,6045680
AZ,7278717
NJ,8882190
TN,6829174
UT,3205958
LA,4648794
IL,1267182
MI,9986857
MI,9986857
WA,7614893
CT,3565287
MO,6137428
CO,5758736
OH,1168910
IN,6732219
AL,4903185
MT,1068778
AR,3017804
IA,3155070
DC,705749
KS,2913314
OK,3956971
ID,1787065
WI,5822434
WV,1792147
KY,4467673
MA,6892503
NV,3080156
MS,2976149
DE,973764
RI,1059361
NH,1359711
NE,1934408
NM,2096829
ND,762062
ME,1344212
WY,578759
VT,623989
SD,884659
